geography_id,country,state_code,state_name,county_fips,county_name,metro_area,region,division,latitude,longitude,population,area_sq_miles,effective_date,expiration_date,is_current
KY001,USA,KY,Kentucky,21111,Jefferson County,Louisville-Jefferson County,South,East South Central,38.2527,-85.7585,766757,380,1/1/2019,1/20/2025,1
LA001,USA,LA,Louisiana,22071,Orleans Parish,New Orleans-Metairie,South,West South Central,29.9511,-90.0715,390144,169,1/1/2019,1/21/2025,1
MA001,USA,MA,Massachusetts,25025,Suffolk County,Boston-Cambridge-Newton,Northeast,New England,42.3601,-71.0589,797936,58,1/1/2019,1/22/2025,1
MD001,USA,MD,Maryland,24005,Baltimore County,Baltimore-Columbia-Towson,South,South Atlantic,39.2904,-76.6122,854535,599,1/1/2019,1/23/2025,1
ME001,USA,ME,Maine,23005,Cumberland County,Portland-South Portland,Northeast,New England,43.6591,-70.2568,303069,835,1/1/2019,1/24/2025,1
MI001,USA,MI,Michigan,26163,Wayne County,Detroit-Warren-Dearborn,Midwest,East North Central,42.3314,-83.0458,1793561,612,1/1/2019,1/25/2025,1
MN001,USA,MN,Minnesota,27123,Ramsey County,Minneapolis-St. Paul-Bloomington,Midwest,West North Central,44.9778,-93.265,552344,152,1/1/2019,1/26/2025,1
MO001,USA,MO,Missouri,29189,St. Louis County,St. Louis,Midwest,West North Central,38.627,-90.1994,1001876,508,1/1/2019,1/27/2025,1
MS001,USA,MS,Mississippi,28049,Hinds County,Jackson,South,East South Central,32.2988,-90.1848,238674,869,1/1/2019,1/28/2025,1
MT001,USA,MT,Montana,30111,Yellowstone County,Billings,West,Mountain,45.7833,-108.5007,164731,2633,1/1/2019,1/29/2025,1
NC001,USA,NC,North Carolina,37119,Mecklenburg County,Charlotte-Concord-Gastonia,South,South Atlantic,35.2271,-80.8431,1115482,546,1/1/2019,1/30/2025,1
ND001,USA,ND,North Dakota,38017,Cass County,Fargo,Midwest,West North Central,46.8772,-96.7898,184525,1765,1/1/2019,1/31/2025,1
NE001,USA,NE,Nebraska,31055,Douglas County,Omaha-Council Bluffs,Midwest,West North Central,41.2565,-95.9345,571327,335,1/1/2019,2/1/2025,1
NH001,USA,NH,New Hampshire,33011,Hillsborough County,Manchester-Nashua,Northeast,New England,42.9956,-71.4548,422937,876,1/1/2019,2/2/2025,1
NJ001,USA,NJ,New Jersey,34003,Bergen County,New York-Newark-Jersey City,Northeast,Middle Atlantic,40.8964,-74.0395,955732,234,1/1/2019,2/3/2025,1
NV001,USA,NV,Nevada,32003,Clark County,Las Vegas-Henderson-Paradise,West,Mountain,36.1699,-115.1398,2266715,7891,1/1/2019,2/4/2025,1
NY001,USA,NY,New York,36061,New York County,New York-Newark-Jersey City,Northeast,Middle Atlantic,40.7128,-74.006,1694251,23,1/1/2019,2/5/2025,1
NY002,USA,NY,New York,36047,Kings County,New York-Newark-Jersey City,Northeast,Middle Atlantic,40.6782,-73.9442,2736074,70,1/1/2019,2/6/2025,1
NY003,USA,NY,New York,36081,Queens County,New York-Newark-Jersey City,Northeast,Middle Atlantic,40.7282,-73.7949,2405464,109,1/1/2019,2/7/2025,1
OH001,USA,OH,Ohio,39035,Cuyahoga County,Cleveland-Elyria,Midwest,East North Central,41.4993,-81.6944,1235072,458,1/1/2019,2/8/2025,1
OK001,USA,OK,Oklahoma,40109,Oklahoma County,Oklahoma City,South,West South Central,35.4676,-97.5164,797434,709,1/1/2019,2/9/2025,1
OR001,USA,OR,Oregon,41051,Multnomah County,Portland-Vancouver-Hillsboro,West,Pacific,45.5152,-122.6784,815428,431,1/1/2019,2/10/2025,1
PA001,USA,PA,Pennsylvania,42101,Philadelphia County,Philadelphia-Camden-Wilmington,Northeast,Middle Atlantic,39.9526,-75.1652,1603797,135,1/1/2019,2/11/2025,1
RI001,USA,RI,Rhode Island,44007,Providence County,Providence-Warwick,Northeast,New England,41.824,-71.4128,660741,410,1/1/2019,2/12/2025,1
SC001,USA,SC,South Carolina,45019,Charleston County,Charleston-North Charleston,South,South Atlantic,32.7765,-79.9311,408235,916,1/1/2019,2/13/2025,1
SD001,USA,SD,South Dakota,46099,Minnehaha County,Sioux Falls,Midwest,West North Central,43.5446,-96.7311,197214,809,1/1/2019,2/14/2025,1
TN001,USA,TN,Tennessee,47037,Davidson County,Nashville-Davidson-Murfreesboro,South,East South Central,36.1627,-86.7816,715884,502,1/1/2019,2/15/2025,1
TX001,USA,TX,Texas,48201,Harris County,Houston-The Woodlands-Sugar Land,South,West South Central,29.7604,-95.3698,4731145,1703,1/1/2019,2/16/2025,1
TX002,USA,TX,Texas,48113,Dallas County,Dallas-Fort Worth-Arlington,South,West South Central,32.7767,-96.797,2613539,880,1/1/2019,2/17/2025,1
TX003,USA,TX,Texas,48029,Bexar County,San Antonio-New Braunfels,South,West South Central,29.4241,-98.4936,2003554,1247,1/1/2019,2/18/2025,1
UT001,USA,UT,Utah,49035,Salt Lake County,Salt Lake City,West,Mountain,40.7608,-111.891,1185238,742,1/1/2019,2/19/2025,1
VA001,USA,VA,Virginia,51059,Fairfax County,Washington-Arlington-Alexandria,South,South Atlantic,38.9043,-77.0384,1150309,395,1/1/2019,2/20/2025,1
VT001,USA,VT,Vermont,50007,Chittenden County,Burlington-South Burlington,Northeast,New England,44.4759,-73.2121,168323,536,1/1/2019,2/21/2025,1
WA001,USA,WA,Washington,53033,King County,Seattle-Tacoma-Bellevue,West,Pacific,47.6062,-122.3321,2269675,2134,1/1/2019,2/22/2025,1
WI001,USA,WI,Wisconsin,55079,Milwaukee County,Milwaukee-Waukesha-West Allis,Midwest,East North Central,43.0389,-87.9065,945726,241,1/1/2019,2/23/2025,1
WV001,USA,WV,West Virginia,54039,Kanawha County,Charleston,South,South Atlantic,38.3498,-81.6326,180745,903,1/1/2019,2/24/2025,1
WY001,USA,WY,Wyoming,56025,Natrona County,Casper,West,Mountain,42.85,-106.3162,79858,5376,1/1/2019,2/25/2025,1
