statistic_id,date_id,geography_id,demographic_id,industry_id,labor_force,employed,unemployed,unemployment_rate,participation_rate,employment_population_ratio,created_date
26,20190301,WA001,DM016,IND001,750000,720000,30000,4,67.2,,1/1/2025
27,20190301,AZ001,DM017,IND002,680000,652000,28000,4.1,64.8,,1/1/2025
28,20190301,TN001,DM018,IND003,620000,595000,25000,4,65.9,,1/1/2025
29,20190301,MA001,DM019,IND004,580000,558000,22000,3.8,66.5,,1/1/2025
30,20190301,IN001,DM020,IND005,520000,500000,20000,3.8,64.2,,1/1/2025
31,20200401,CA001,DM001,IND006,1200000,1050000,150000,12.5,60.2,,1/1/2025
32,20200401,TX001,DM002,IND006,870000,760000,110000,12.6,65.8,,1/1/2025
33,20200401,NY001,DM003,IND006,2050000,1750000,300000,14.6,58.4,,1/1/2025
34,20200401,FL001,DM004,IND007,1620000,1420000,200000,12.3,59.8,,1/1/2025
35,20200401,IL001,DM005,IND007,920000,805000,115000,12.5,60.1,,1/1/2025
36,20200401,PA001,DM006,IND008,1380000,1200000,180000,13,59.5,,1/1/2025
37,20200401,OH001,DM007,IND008,1150000,1000000,150000,13,60.8,,1/1/2025
38,20200401,GA001,DM008,IND009,1020000,895000,125000,12.3,61.2,,1/1/2025
39,20200401,NC001,DM009,IND009,950000,840000,110000,11.6,62.5,,1/1/2025
40,20200401,MI001,DM010,IND010,860000,730000,130000,15.1,58.9,,1/1/2025
41,20200501,CA001,DM001,IND006,1180000,1020000,160000,13.6,59.1,,1/1/2025
42,20200501,TX001,DM002,IND006,860000,745000,115000,13.4,65.2,,1/1/2025
43,20200501,NY001,DM003,IND006,2020000,1700000,320000,15.8,57.1,,1/1/2025
44,20200501,FL001,DM004,IND007,1600000,1380000,220000,13.8,58.9,,1/1/2025
45,20200501,IL001,DM005,IND007,910000,785000,125000,13.7,59.3,,1/1/2025
46,20200501,PA001,DM006,IND008,1360000,1170000,190000,14,58.8,,1/1/2025
47,20200501,OH001,DM007,IND008,1130000,970000,160000,14.2,59.9,,1/1/2025
48,20200501,GA001,DM008,IND009,1000000,870000,130000,13,60.5,,1/1/2025
49,20200501,NC001,DM009,IND009,930000,815000,115000,12.4,61.8,,1/1/2025
50,20200501,MI001,DM010,IND010,840000,705000,135000,16.1,57.8,,1/1/2025
51,20210101,CA001,DM006,IND008,1220000,1130000,90000,7.4,62.1,,1/1/2025
52,20210101,TX001,DM007,IND009,885000,825000,60000,6.8,66.9,,1/1/2025
53,20210101,NY001,DM008,IND010,2080000,1930000,150000,7.2,60.5,,1/1/2025
54,20210101,FL001,DM009,IND011,1650000,1540000,110000,6.7,61.8,,1/1/2025
55,20210101,IL001,DM010,IND012,935000,870000,65000,7,62.1,,1/1/2025
56,20210101,PA001,DM011,IND013,1400000,1295000,105000,7.5,61.2,,1/1/2025
57,20210101,OH001,DM012,IND014,1160000,1080000,80000,6.9,62.8,,1/1/2025
58,20210101,GA001,DM013,IND015,1030000,960000,70000,6.8,63.2,,1/1/2025
59,20210101,NC001,DM014,IND001,970000,910000,60000,6.2,64.1,,1/1/2025
60,20210101,MI001,DM015,IND002,875000,815000,60000,6.9,61.5,,1/1/2025
61,20210201,CA001,DM006,IND008,1225000,1140000,85000,6.9,62.5,,1/1/2025
62,20210201,TX001,DM007,IND009,890000,835000,55000,6.2,67.2,,1/1/2025
63,20210201,NY001,DM008,IND010,2090000,1950000,140000,6.7,60.8,,1/1/2025
64,20210201,FL001,DM009,IND011,1660000,1560000,100000,6,62.2,,1/1/2025
65,20210201,IL001,DM010,IND012,940000,880000,60000,6.4,62.5,,1/1/2025
66,20210201,WA001,DM016,IND001,760000,715000,45000,5.9,66.8,,1/1/2025
67,20210201,AZ001,DM017,IND002,695000,655000,40000,5.8,65.9,,1/1/2025
68,20210201,TN001,DM018,IND003,635000,600000,35000,5.5,66.8,,1/1/2025
69,20210201,MA001,DM019,IND004,590000,560000,30000,5.1,67.2,,1/1/2025
70,20210201,IN001,DM020,IND005,535000,508000,27000,5,65.1,,1/1/2025
71,20220101,CA001,DM001,IND001,1245000,1190000,55000,4.4,64.8,,1/1/2025
72,20220101,TX001,DM002,IND002,905000,865000,40000,4.4,68.5,,1/1/2025
73,20220101,NY001,DM003,IND003,2120000,2030000,90000,4.2,62.9,,1/1/2025
74,20220101,FL001,DM004,IND004,1685000,1625000,60000,3.6,64.1,,1/1/2025
75,20220101,IL001,DM005,IND005,950000,910000,40000,4.2,63.8,,1/1/2025
76,20220101,PA001,DM006,IND006,1430000,1375000,55000,3.8,62.8,,1/1/2025
77,20220101,OH001,DM007,IND007,1175000,1130000,45000,3.8,64.2,,1/1/2025
78,20220101,GA001,DM008,IND008,1045000,1005000,40000,3.8,64.8,,1/1/2025
79,20220101,NC001,DM009,IND009,990000,955000,35000,3.5,65.7,,1/1/2025
80,20220101,MI001,DM010,IND010,885000,850000,35000,4,63.2,,1/1/2025
81,20220201,CA001,DM011,IND011,1248000,1195000,53000,4.2,65,,1/1/2025
82,20220201,TX001,DM012,IND012,908000,870000,38000,4.2,68.7,,1/1/2025
83,20220201,NY001,DM013,IND013,2125000,2040000,85000,4,63.2,,1/1/2025
84,20220201,FL001,DM014,IND014,1690000,1635000,55000,3.3,64.4,,1/1/2025
85,20220201,IL001,DM015,IND015,953000,915000,38000,4,64,,1/1/2025
86,20220201,WA001,DM016,IND001,765000,735000,30000,3.9,67.5,,1/1/2025
87,20220201,AZ001,DM017,IND002,705000,678000,27000,3.8,66.8,,1/1/2025
88,20220201,TN001,DM018,IND003,645000,620000,25000,3.9,67.5,,1/1/2025
89,20220201,MA001,DM019,IND004,595000,572000,23000,3.9,67.8,,1/1/2025
90,20220201,IN001,DM020,IND005,545000,525000,20000,3.7,65.9,,1/1/2025
91,20230101,CA001,DM001,IND001,1265000,1215000,50000,4,66.2,,1/1/2025
92,20230101,TX001,DM002,IND002,915000,880000,35000,3.8,69.1,,1/1/2025
93,20230101,NY001,DM003,IND003,2140000,2055000,85000,4,63.8,,1/1/2025
94,20230101,FL001,DM004,IND004,1705000,1650000,55000,3.2,65.2,,1/1/2025
95,20230101,IL001,DM005,IND005,960000,920000,40000,4.2,64.5,,1/1/2025
96,20230101,PA001,DM006,IND006,1440000,1385000,55000,3.8,63.5,,1/1/2025
97,20230101,OH001,DM007,IND007,1185000,1140000,45000,3.8,64.8,,1/1/2025
98,20230101,GA001,DM008,IND008,1055000,1015000,40000,3.8,65.5,,1/1/2025
99,20230101,NC001,DM009,IND009,1005000,970000,35000,3.5,66.4,,1/1/2025
100,20230101,MI001,DM010,IND010,895000,860000,35000,3.9,63.8,,1/1/2025
101,20230201,CA001,DM011,IND011,1268000,1220000,48000,3.8,66.4,,1/1/2025
102,20230201,TX001,DM012,IND012,918000,885000,33000,3.6,69.3,,1/1/2025
103,20230201,NY001,DM013,IND013,2145000,2065000,80000,3.7,64.1,,1/1/2025
104,20230201,FL001,DM014,IND014,1710000,1658000,52000,3,65.5,,1/1/2025
105,20230201,IL001,DM015,IND015,963000,925000,38000,3.9,64.7,,1/1/2025
106,20230201,WA001,DM016,IND001,770000,742000,28000,3.6,68.1,,1/1/2025
107,20230201,AZ001,DM017,IND002,712000,686000,26000,3.7,67.5,,1/1/2025
108,20230201,TN001,DM018,IND003,655000,632000,23000,3.5,68.2,,1/1/2025
109,20230201,MA001,DM019,IND004,602000,582000,20000,3.3,68.4,,1/1/2025
110,20230201,IN001,DM020,IND005,552000,535000,17000,3.1,66.5,,1/1/2025
111,20240101,CA001,DM008,IND010,1280000,1235000,45000,3.5,66.8,,1/1/2025
112,20240101,TX001,DM009,IND011,920000,885000,35000,3.8,69.2,,1/1/2025
113,20240101,NY001,DM010,IND012,2150000,2070000,80000,3.7,64.5,,1/1/2025
114,20240101,FL001,DM011,IND013,1720000,1665000,55000,3.2,65.8,,1/1/2025
115,20240101,IL001,DM012,IND014,970000,932000,38000,3.9,65.1,,1/1/2025
116,20240101,PA001,DM013,IND015,1450000,1398000,52000,3.6,63.2,,1/1/2025
117,20240101,OH001,DM014,IND001,1195000,1152000,43000,3.6,65.4,,1/1/2025
118,20240101,GA001,DM015,IND002,1065000,1028000,37000,3.5,66.1,,1/1/2025
119,20240101,NC001,DM016,IND003,1015000,982000,33000,3.3,67,,1/1/2025
120,20240101,MI001,DM017,IND004,905000,872000,33000,3.6,64.4,,1/1/2025
121,20240201,WA001,DM012,IND014,780000,755000,25000,3.2,67.4,,1/1/2025
122,20240201,PA001,DM013,IND015,1450000,1398000,52000,3.6,63.2,,1/1/2025
123,20240201,AZ001,DM014,IND001,720000,696000,24000,3.3,68.1,,1/1/2025
124,20240201,TN001,DM015,IND002,665000,644000,21000,3.2,68.8,,1/1/2025
125,20240201,MA001,DM016,IND003,610000,592000,18000,2.9,68.9,,1/1/2025
126,20240201,IN001,DM017,IND004,560000,545000,15000,2.7,67.1,,1/1/2025
127,20240201,MO001,DM018,IND005,540000,522000,18000,3.3,65.8,,1/1/2025
128,20240201,WI001,DM019,IND006,520000,504000,16000,3.1,66.9,,1/1/2025
129,20240201,MD001,DM020,IND007,485000,470000,15000,3.1,67.5,,1/1/2025
130,20240201,MN001,DM001,IND008,475000,461000,14000,2.9,68.2,,1/1/2025
131,20240301,CA001,DM001,IND001,1285000,1242000,43000,3.3,67.1,,1/1/2025
132,20240301,TX001,DM002,IND002,925000,892000,33000,3.6,69.5,,1/1/2025
133,20240301,NY001,DM003,IND003,2155000,2078000,77000,3.6,64.8,,1/1/2025
134,20240301,FL001,DM004,IND004,1725000,1672000,53000,3.1,66.1,,1/1/2025
135,20240301,IL001,DM005,IND005,973000,937000,36000,3.7,65.4,,1/1/2025
136,20240301,PA001,DM006,IND006,1453000,1403000,50000,3.4,63.5,,1/1/2025
137,20240301,OH001,DM007,IND007,1200000,1160000,40000,3.3,65.7,,1/1/2025
138,20240301,GA001,DM008,IND008,1070000,1035000,35000,3.3,66.4,,1/1/2025
139,20240301,NC001,DM009,IND009,1020000,988000,32000,3.1,67.3,,1/1/2025
140,20240301,MI001,DM010,IND010,910000,878000,32000,3.5,64.7,,1/1/2025
141,20240401,CA001,DM011,IND011,1288000,1248000,40000,3.1,67.3,,1/1/2025
142,20240401,TX001,DM012,IND012,928000,896000,32000,3.4,69.7,,1/1/2025
143,20240401,NY001,DM013,IND013,2160000,2085000,75000,3.5,65,,1/1/2025
144,20240401,FL001,DM014,IND014,1730000,1678000,52000,3,66.3,,1/1/2025
145,20240401,IL001,DM015,IND015,975000,940000,35000,3.6,65.6,,1/1/2025
146,20240401,WA001,DM016,IND001,785000,762000,23000,2.9,67.8,,1/1/2025
147,20240401,AZ001,DM017,IND002,725000,702000,23000,3.2,68.4,,1/1/2025
148,20240401,TN001,DM018,IND003,670000,650000,20000,3,69.1,,1/1/2025
149,20240401,MA001,DM019,IND004,615000,598000,17000,2.8,69.2,,1/1/2025
150,20240401,IN001,DM020,IND005,565000,551000,14000,2.5,67.4,,1/1/2025
151,20240501,CA001,DM002,IND003,1290000,1252000,38000,2.9,67.5,,1/1/2025
152,20240501,TX001,DM003,IND004,930000,900000,30000,3.2,69.9,,1/1/2025
153,20240501,NY001,DM004,IND005,2165000,2092000,73000,3.4,65.3,,1/1/2025
154,20240501,FL001,DM005,IND006,1735000,1685000,50000,2.9,66.6,,1/1/2025
155,20240501,IL001,DM006,IND007,978000,944000,34000,3.5,65.9,,1/1/2025
156,20240501,PA001,DM007,IND008,1456000,1408000,48000,3.3,63.8,,1/1/2025
157,20240501,OH001,DM008,IND009,1205000,1167000,38000,3.2,66,,1/1/2025
158,20240501,GA001,DM009,IND010,1075000,1042000,33000,3.1,66.7,,1/1/2025
159,20240501,NC001,DM010,IND011,1025000,995000,30000,2.9,67.6,,1/1/2025
160,20240501,MI001,DM011,IND012,915000,885000,30000,3.3,65,,1/1/2025
161,20240601,WA001,DM012,IND013,790000,768000,22000,2.8,68.1,,1/1/2025
162,20240601,AZ001,DM013,IND014,730000,708000,22000,3,68.7,,1/1/2025
163,20240601,TN001,DM014,IND015,675000,656000,19000,2.8,69.4,,1/1/2025
164,20240601,MA001,DM015,IND001,620000,604000,16000,2.6,69.5,,1/1/2025
165,20240601,IN001,DM016,IND002,570000,557000,13000,2.3,67.7,,1/1/2025
166,20240601,MO001,DM017,IND003,545000,529000,16000,2.9,66.2,,1/1/2025
167,20240601,WI001,DM018,IND004,525000,510000,15000,2.9,67.3,,1/1/2025
168,20240601,MD001,DM019,IND005,490000,477000,13000,2.7,67.8,,1/1/2025
169,20240601,MN001,DM020,IND006,480000,468000,12000,2.5,68.5,,1/1/2025
